id,method,total
1,CheapestIns,17656.09
1,NNeighbour,20454.71
1,RandomIns,37294.28
1,Christofides,16450.14
1,GoogleOR,15967
2,CheapestIns,18149.550000000003
2,NNeighbour,20425.589999999997
2,RandomIns,34682.45
2,Christofides,16450.14
2,GoogleOR,15704
3,CheapestIns,17656.090000000004
3,NNeighbour,19301.98
3,RandomIns,31081.95
3,Christofides,16450.140000000003
3,GoogleOR,15704
4,CheapestIns,18149.550000000003
4,NNeighbour,22105.589999999997
4,RandomIns,34126.65
4,Christofides,16450.14
4,GoogleOR,15315
5,CheapestIns,17245.289999999997
5,NNeighbour,20479.11
5,RandomIns,32612.74
5,Christofides,16450.14
5,GoogleOR,15967
6,CheapestIns,17245.29
6,NNeighbour,21662.12
6,RandomIns,31856.560000000005
6,Christofides,16450.14
6,GoogleOR,15967
7,CheapestIns,17491.07
7,NNeighbour,19639.86
7,RandomIns,31598.62
7,Christofides,16450.14
7,GoogleOR,17481
8,CheapestIns,18376.88
8,NNeighbour,19899.23
8,RandomIns,31356.71
8,Christofides,16450.14
8,GoogleOR,15967
9,CheapestIns,18376.88
9,NNeighbour,19828.65
9,RandomIns,36501.58
9,Christofides,16450.14
9,GoogleOR,15704
10,CheapestIns,18376.88
10,NNeighbour,18944.2
10,RandomIns,34338.45
10,Christofides,16450.14
10,GoogleOR,15315
11,CheapestIns,18376.88
11,NNeighbour,19118.15
11,RandomIns,37293.88
11,Christofides,16450.14
11,GoogleOR,15315
12,CheapestIns,18376.88
12,NNeighbour,19118.15
12,RandomIns,37084.13
12,Christofides,16450.14
12,GoogleOR,15704
13,CheapestIns,18149.56
13,NNeighbour,19428.52
13,RandomIns,33569.350000000006
13,Christofides,16450.14
13,GoogleOR,15315
14,CheapestIns,18149.56
14,NNeighbour,19428.52
14,RandomIns,30667.830000000005
14,Christofides,16450.14
14,GoogleOR,15315
15,CheapestIns,18149.550000000003
15,NNeighbour,19786.89
15,RandomIns,36339.630000000005
15,Christofides,16450.14
15,GoogleOR,15315
16,CheapestIns,17656.090000000004
16,NNeighbour,20782.61
16,RandomIns,34981.66
16,Christofides,16450.140000000003
16,GoogleOR,15704
17,CheapestIns,17656.090000000004
17,NNeighbour,19399.22
17,RandomIns,33012.3
17,Christofides,16450.140000000003
17,GoogleOR,15704
18,CheapestIns,17430.710000000003
18,NNeighbour,19636.030000000002
18,RandomIns,31489.56999999999
18,Christofides,16450.140000000003
18,GoogleOR,15967
